# wave	flux	error	model
# 
1.379099999999999909e+03 9.550830000000000153e-01 3.472650000000000042e-02 9.997956756846871906e-01
1.379130000000000109e+03 1.026699999999999946e+00 3.601510000000000128e-02 9.997648803468558443e-01
1.379160000000000082e+03 9.877700000000000369e-01 3.540829999999999672e-02 9.997351888502408190e-01
1.379190000000000055e+03 1.049830000000000041e+00 3.645700000000000329e-02 9.997073016091246878e-01
1.379220000000000027e+03 1.025169999999999915e+00 3.598010000000000097e-02 9.996812507056279662e-01
1.379250000000000000e+03 9.845340000000000202e-01 3.525319999999999843e-02 9.996567805700136145e-01
1.379279999999999973e+03 9.880010000000000181e-01 3.537049999999999916e-02 9.996337176630973875e-01
1.379309999999999945e+03 1.026580000000000048e+00 3.595450000000000035e-02 9.996170792577234732e-01
1.379339999999999918e+03 9.528219999999999468e-01 3.466980000000000062e-02 9.996091125317509984e-01
1.379369999999999891e+03 1.040030000000000010e+00 3.619119999999999976e-02 9.996038358810358515e-01
1.379400000000000091e+03 9.898289999999999589e-01 3.531440000000000273e-02 9.995996622354123007e-01
1.379430000000000064e+03 9.798799999999999732e-01 3.514090000000000269e-02 9.995962693013720202e-01
1.379460000000000036e+03 1.003409999999999913e+00 3.559790000000000176e-02 9.995934324740005650e-01
1.379490000000000009e+03 9.672889999999999544e-01 3.498590000000000033e-02 9.995909169285247531e-01
1.379519999999999982e+03 9.954190000000000538e-01 3.540030000000000260e-02 9.995884987913310482e-01
1.379549999999999955e+03 9.491760000000000197e-01 3.474649999999999961e-02 9.995859839962556448e-01
1.379579999999999927e+03 1.022469999999999990e+00 3.593369999999999898e-02 9.995832248104783435e-01
1.379609999999999900e+03 1.025500000000000078e+00 3.613659999999999789e-02 9.995801192136161140e-01
1.379640000000000100e+03 9.810940000000000216e-01 3.518890000000000212e-02 9.995765809379539846e-01
1.379670000000000073e+03 9.767670000000000519e-01 3.505389999999999895e-02 9.995725078635618877e-01
1.379700000000000045e+03 9.848930000000000184e-01 3.526180000000000286e-02 9.995677951772418135e-01
1.379730000000000018e+03 1.013249999999999984e+00 3.579039999999999999e-02 9.995623909235114013e-01
1.379759999999999991e+03 9.928519999999999568e-01 3.532819999999999711e-02 9.995563095354894623e-01
1.379789999999999964e+03 1.050969999999999960e+00 3.637939999999999924e-02 9.995495904843512136e-01
1.379809999999999945e+03 1.004050000000000109e+00 3.557779999999999970e-02 9.995422745779019014e-01
1.379839999999999918e+03 9.966500000000000359e-01 3.538700000000000179e-02 9.995344324567749794e-01
1.379869999999999891e+03 1.001370000000000093e+00 3.549830000000000346e-02 9.995262006918986808e-01
1.379900000000000091e+03 1.008420000000000094e+00 3.557289999999999758e-02 9.995177652817807123e-01
1.379930000000000064e+03 9.833030000000000381e-01 3.513499999999999956e-02 9.995093152624302535e-01
1.379960000000000036e+03 9.296539999999999804e-01 3.421380000000000254e-02 9.995010141746187848e-01
1.379990000000000009e+03 9.910080000000000000e-01 3.528909999999999686e-02 9.994929858352229468e-01
1.380019999999999982e+03 9.739050000000000207e-01 3.516949999999999937e-02 9.994853015160687359e-01
1.380049999999999955e+03 9.702629999999999866e-01 3.497929999999999789e-02 9.994779936658058084e-01
1.380079999999999927e+03 9.611049999999999871e-01 3.494640000000000246e-02 9.994710884644082416e-01
1.380109999999999900e+03 9.741880000000000539e-01 3.511929999999999913e-02 9.994646277333427697e-01
1.380140000000000100e+03 9.698790000000000466e-01 3.496769999999999740e-02 9.994586250257593285e-01
1.380170000000000073e+03 1.027979999999999894e+00 3.590440000000000298e-02 9.994529931420016444e-01
1.380200000000000045e+03 1.079380000000000006e+00 3.677690000000000126e-02 9.994475488461040946e-01
1.380230000000000018e+03 1.047209999999999974e+00 3.623799999999999938e-02 9.994420753029805704e-01
1.380259999999999991e+03 1.081409999999999982e+00 3.681829999999999825e-02 9.994363739995898444e-01
1.380289999999999964e+03 1.080089999999999995e+00 3.681630000000000319e-02 9.994302697097127153e-01
1.380319999999999936e+03 9.969639999999999613e-01 3.534640000000000004e-02 9.994235984417192409e-01
1.380349999999999909e+03 1.007079999999999975e+00 3.551239999999999952e-02 9.994162136509358030e-01
1.380380000000000109e+03 1.007009999999999961e+00 3.553859999999999658e-02 9.994079883272293241e-01
1.380410000000000082e+03 1.014429999999999943e+00 3.566020000000000301e-02 9.993988233138364485e-01
1.380440000000000055e+03 1.050920000000000076e+00 3.625889999999999669e-02 9.993886706021395394e-01
1.380470000000000027e+03 1.022929999999999895e+00 3.577430000000000193e-02 9.993775373768315484e-01
1.380500000000000000e+03 9.916509999999999492e-01 3.524850000000000205e-02 9.993654719857593127e-01
1.380529999999999973e+03 1.012420000000000098e+00 3.569479999999999875e-02 9.993525449576761144e-01
1.380559999999999945e+03 9.187070000000000514e-01 3.400360000000000188e-02 9.993388368431369573e-01
1.380589999999999918e+03 9.840119999999999978e-01 3.516299999999999981e-02 9.993244314833364950e-01
1.380619999999999891e+03 9.776340000000000030e-01 3.496459999999999846e-02 9.993094192747331572e-01
1.380650000000000091e+03 1.040170000000000039e+00 3.613210000000000033e-02 9.992939017182480566e-01
1.380680000000000064e+03 1.016270000000000007e+00 3.565220000000000194e-02 9.992779947275306496e-01
1.380710000000000036e+03 1.005360000000000031e+00 3.544869999999999965e-02 9.992617997295700771e-01
1.380740000000000009e+03 1.021039999999999948e+00 3.572729999999999656e-02 9.992454132131105560e-01
1.380769999999999982e+03 1.002439999999999998e+00 3.542209999999999803e-02 9.992289392205647713e-01
1.380799999999999955e+03 9.890679999999999472e-01 3.519459999999999950e-02 9.992124706102636367e-01
1.380829999999999927e+03 1.040399999999999991e+00 3.613999999999999851e-02 9.991960521318834498e-01
1.380859999999999900e+03 9.664970000000000505e-01 3.482969999999999816e-02 9.991796626759850142e-01
1.380890000000000100e+03 9.437360000000000193e-01 3.436419999999999753e-02 9.991632228762475920e-01
1.380920000000000073e+03 1.003179999999999961e+00 3.541110000000000091e-02 9.991466091632044133e-01
1.380950000000000045e+03 1.003789999999999960e+00 3.541740000000000166e-02 9.991296460167397031e-01
1.380980000000000018e+03 1.008780000000000010e+00 3.556779999999999664e-02 9.991121150330875000e-01
1.381009999999999991e+03 1.003390000000000004e+00 3.539010000000000072e-02 9.990937880465964316e-01
1.381039999999999964e+03 1.035600000000000076e+00 3.596099999999999991e-02 9.990744460837053253e-01
1.381069999999999936e+03 9.940820000000000212e-01 3.532239999999999686e-02 9.990539122483593770e-01
1.381099999999999909e+03 9.517949999999999466e-01 3.448079999999999895e-02 9.990320576780912232e-01
1.381130000000000109e+03 9.917249999999999677e-01 3.523520000000000124e-02 9.990087993696465940e-01
1.381160000000000082e+03 1.030329999999999968e+00 3.587080000000000130e-02 9.989840721797473844e-01
1.381190000000000055e+03 1.033579999999999943e+00 3.591540000000000010e-02 9.989578116779459505e-01
1.381220000000000027e+03 1.017339999999999911e+00 3.560619999999999757e-02 9.989300036805627281e-01
1.381250000000000000e+03 1.005409999999999915e+00 3.539429999999999660e-02 9.989007391666857583e-01
1.381279999999999973e+03 9.981630000000000225e-01 3.537529999999999841e-02 9.988702009861382125e-01
1.381309999999999945e+03 1.020750000000000046e+00 3.568169999999999675e-02 9.988386274983962476e-01
1.381339999999999918e+03 1.006610000000000005e+00 3.542490000000000222e-02 9.988062258264245319e-01
1.381369999999999891e+03 1.070240000000000080e+00 3.654040000000000066e-02 9.987731699941634345e-01
1.381400000000000091e+03 9.863359999999999905e-01 3.506959999999999938e-02 9.987396051077631620e-01
1.381430000000000064e+03 1.050629999999999953e+00 3.618819999999999676e-02 9.987056446771236384e-01
