# wave	flux	error	model
# 
1.232059999999999945e+03 1.001430100000000101e+00 3.125091599999999664e-02 9.999999683568117081e-01
1.232089999999999918e+03 1.064706600000000059e+00 3.223830700000000077e-02 9.999999674144509632e-01
1.232119999999999891e+03 9.889116700000000204e-01 3.112151599999999838e-02 9.999999664293953705e-01
1.232150000000000091e+03 9.972589099999999984e-01 3.131048100000000112e-02 9.999999653990260251e-01
1.232180000000000064e+03 9.902285400000000459e-01 3.120925899999999961e-02 9.999999643205205180e-01
1.232210000000000036e+03 1.031430199999999964e+00 3.192901599999999757e-02 9.999999631908328412e-01
1.232240000000000009e+03 9.773576600000000170e-01 3.103392799999999882e-02 9.999999620066725159e-01
1.232269999999999982e+03 9.589946299999999590e-01 3.082275300000000134e-02 9.999999607644798338e-01
1.232299999999999955e+03 9.707464700000000279e-01 3.100031500000000051e-02 9.999999594603996567e-01
1.232329999999999927e+03 9.987880399999999881e-01 3.158171099999999842e-02 9.999999580902513285e-01
1.232359999999999900e+03 1.024371900000000002e+00 3.193571399999999699e-02 9.999999566494948144e-01
1.232390000000000100e+03 1.013516199999999978e+00 3.186089400000000071e-02 9.999999551331931746e-01
1.232420000000000073e+03 9.953600900000000307e-01 3.152634599999999676e-02 9.999999535359703762e-01
1.232450000000000045e+03 1.011712699999999909e+00 3.181638600000000205e-02 9.999999518519634423e-01
1.232480000000000018e+03 9.696156400000000009e-01 3.134069800000000017e-02 9.999999500747679404e-01
1.232509999999999991e+03 1.037760699999999980e+00 3.229913000000000228e-02 9.999999481973780302e-01
1.232539999999999964e+03 1.012483599999999928e+00 3.191725699999999749e-02 9.999999462121160754e-01
1.232569999999999936e+03 9.772710700000000195e-01 3.138275299999999934e-02 9.999999441105549280e-01
1.232599999999999909e+03 9.993101800000000479e-01 3.177012199999999786e-02 9.999999418834274456e-01
1.232630000000000109e+03 9.958800199999999769e-01 3.174617099999999664e-02 9.999999395205244612e-01
1.232660000000000082e+03 1.033652599999999921e+00 3.230388199999999904e-02 9.999999370105773222e-01
1.232690000000000055e+03 9.938812599999999886e-01 3.167791799999999935e-02 9.999999343411227759e-01
1.232720000000000027e+03 9.599191299999999538e-01 3.126477099999999676e-02 9.999999314983482046e-01
1.232750000000000000e+03 9.794026999999999594e-01 3.145070400000000294e-02 9.999999284669119914e-01
1.232779999999999973e+03 1.027242800000000011e+00 3.222374900000000292e-02 9.999999252297355756e-01
1.232809999999999945e+03 1.026077799999999929e+00 3.221209500000000309e-02 9.999999217677620900e-01
1.232839999999999918e+03 1.008331899999999948e+00 3.194390899999999950e-02 9.999999180596746973e-01
1.232869999999999891e+03 9.899455999999999811e-01 3.170148700000000042e-02 9.999999140815667431e-01
1.232900000000000091e+03 9.982533500000000393e-01 3.175928399999999874e-02 9.999999098065548431e-01
1.232930000000000064e+03 1.036355499999999985e+00 3.232137699999999836e-02 9.999999052043219150e-01
1.232960000000000036e+03 9.808314799999999778e-01 3.148874000000000117e-02 9.999999002405771664e-01
1.232990000000000009e+03 9.567018000000000466e-01 3.109853400000000059e-02 9.999998948764134976e-01
1.233019999999999982e+03 1.029477900000000057e+00 3.213644799999999802e-02 9.999998890675407814e-01
1.233049999999999955e+03 1.026187500000000030e+00 3.222057700000000025e-02 9.999998827633650444e-01
1.233079999999999927e+03 1.001090400000000047e+00 3.171626799999999885e-02 9.999998759058801312e-01
1.233109999999999900e+03 9.825675000000000381e-01 3.137383299999999681e-02 9.999998684283235573e-01
1.233140000000000100e+03 1.015465499999999910e+00 3.181545399999999996e-02 9.999998602535387082e-01
1.233170000000000073e+03 9.789418100000000234e-01 3.119544600000000167e-02 9.999998512919686666e-01
1.233200000000000045e+03 1.005860799999999999e+00 3.162025899999999778e-02 9.999998414391823021e-01
